LinkID	busid	Aid	Bid
1	1	1	41
2	1	41	81
3	1	81	121
4	1	121	161
5	1	161	201
6	1	201	241
7	1	241	281
8	1	281	321
9	1	321	361
10	1	361	401
11	1	401	441
12	1	441	481
13	1	481	521
14	1	521	561
15	1	561	601
16	1	601	641
17	1	641	681
18	1	681	721
19	1	721	761
20	1	761	801
21	1	801	841
22	1	841	881
23	1	881	921
24	1	921	961
25	2	961	921
26	2	921	881
27	2	881	841
28	2	841	801
29	2	801	761
30	2	761	721
31	2	721	681
32	2	681	641
33	2	641	601
34	2	601	561
35	2	561	521
36	2	521	481
37	2	481	441
38	2	441	401
39	2	401	361
40	2	361	321
41	2	321	281
42	2	281	241
43	2	241	201
44	2	201	161
45	2	161	121
46	2	121	81
47	2	81	41
48	2	41	1
49	3	2	42
50	3	42	82
51	3	82	122
52	3	122	162
53	3	162	202
54	3	202	242
55	3	242	282
56	3	282	322
57	3	322	362
58	3	362	402
59	3	402	442
60	3	442	482
61	3	482	522
62	3	522	562
63	3	562	602
64	3	602	642
65	3	642	682
66	3	682	722
67	3	722	762
68	3	762	802
69	3	802	842
70	3	842	882
71	3	882	922
72	3	922	962
73	4	962	922
74	4	922	882
75	4	882	842
76	4	842	802
77	4	802	762
78	4	762	722
79	4	722	682
80	4	682	642
81	4	642	602
82	4	602	562
83	4	562	522
84	4	522	482
85	4	482	442
86	4	442	402
87	4	402	362
88	4	362	322
89	4	322	282
90	4	282	242
91	4	242	202
92	4	202	162
93	4	162	122
94	4	122	82
95	4	82	42
96	4	42	2
97	5	3	43
98	5	43	83
99	5	83	123
100	5	123	163
101	5	163	203
102	5	203	243
103	5	243	283
104	5	283	323
105	5	323	363
106	5	363	403
107	5	403	443
108	5	443	483
109	5	483	523
110	5	523	563
111	5	563	603
112	5	603	643
113	5	643	683
114	5	683	723
115	5	723	763
116	5	763	803
117	5	803	843
118	5	843	883
119	5	883	923
120	5	923	963
121	6	963	923
122	6	923	883
123	6	883	843
124	6	843	803
125	6	803	763
126	6	763	723
127	6	723	683
128	6	683	643
129	6	643	603
130	6	603	563
131	6	563	523
132	6	523	483
133	6	483	443
134	6	443	403
135	6	403	363
136	6	363	323
137	6	323	283
138	6	283	243
139	6	243	203
140	6	203	163
141	6	163	123
142	6	123	83
143	6	83	43
144	6	43	3
145	7	4	44
146	7	44	84
147	7	84	124
148	7	124	164
149	7	164	204
150	7	204	244
151	7	244	284
152	7	284	324
153	7	324	364
154	7	364	404
155	7	404	444
156	7	444	484
157	7	484	524
158	7	524	564
159	7	564	604
160	7	604	644
161	7	644	684
162	7	684	724
163	7	724	764
164	7	764	804
165	7	804	844
166	7	844	884
167	7	884	924
168	7	924	964
169	8	964	924
170	8	924	884
171	8	884	844
172	8	844	804
173	8	804	764
174	8	764	724
175	8	724	684
176	8	684	644
177	8	644	604
178	8	604	564
179	8	564	524
180	8	524	484
181	8	484	444
182	8	444	404
183	8	404	364
184	8	364	324
185	8	324	284
186	8	284	244
187	8	244	204
188	8	204	164
189	8	164	124
190	8	124	84
191	8	84	44
192	8	44	4
193	9	5	45
194	9	45	85
195	9	85	125
196	9	125	165
197	9	165	205
198	9	205	245
199	9	245	285
200	9	285	325
201	9	325	365
202	9	365	405
203	9	405	445
204	9	445	485
205	9	485	525
206	9	525	565
207	9	565	605
208	9	605	645
209	9	645	685
210	9	685	725
211	9	725	765
212	9	765	805
213	9	805	845
214	9	845	885
215	9	885	925
216	9	925	965
217	10	965	925
218	10	925	885
219	10	885	845
220	10	845	805
221	10	805	765
222	10	765	725
223	10	725	685
224	10	685	645
225	10	645	605
226	10	605	565
227	10	565	525
228	10	525	485
229	10	485	445
230	10	445	405
231	10	405	365
232	10	365	325
233	10	325	285
234	10	285	245
235	10	245	205
236	10	205	165
237	10	165	125
238	10	125	85
239	10	85	45
240	10	45	5
241	11	6	46
242	11	46	86
243	11	86	126
244	11	126	166
245	11	166	206
246	11	206	246
247	11	246	286
248	11	286	326
249	11	326	366
250	11	366	406
251	11	406	446
252	11	446	486
253	11	486	526
254	11	526	566
255	11	566	606
256	11	606	646
257	11	646	686
258	11	686	726
259	11	726	766
260	11	766	806
261	11	806	846
